,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,turbulence
3,2006-10-25,GOOG,12.029351234436035,12.119572639465332,12.166894912719727,11.892672538757324,368877480.0,2.0,0.019068404174200637,12.14798917714666,11.202486610969794,100.0,96.3178108475917,66.87395781991829,11.675237894058228,11.675237894058228,0.0
3,2006-10-25,INTC,12.921355247497559,21.719999313354492,21.84000015258789,21.549999237060547,53309500.0,2.0,0.014301580011515824,21.703504426625663,21.031495230051583,100.0,81.22598224115376,100.0,21.367499828338623,21.367499828338623,0.0
3,2006-10-25,MSFT,19.95741081237793,28.309999465942383,28.459999084472656,28.280000686645508,40717100.0,2.0,-0.005172965879047808,28.568033129303537,28.176966756255545,28.31197824828837,-85.12863851418194,67.54361169930127,28.37249994277954,28.37249994277954,0.0
3,2006-10-25,NVDA,0.5012031197547913,0.5466669797897339,0.5550000071525574,0.5468329787254333,389436000.0,2.0,0.0002919930669067483,0.5544887835963317,0.517011189939206,61.834829498358445,133.33333333333408,100.0,0.5357499867677689,0.5357499867677689,0.0
3,2006-10-25,QCOM,23.916955947875977,37.5099983215332,37.7400016784668,36.68000030517578,15486300.0,2.0,-0.059338051076224474,39.03715557093486,36.23784595494405,0.0,-76.71961075936933,17.476827908179075,37.63750076293945,37.63750076293945,0.0
4,2006-10-26,AAPL,2.464963674545288,2.935357093811035,2.950000047683716,2.924999952316284,432756800.0,3.0,0.0044000522737732695,2.9662247718072488,2.7969180046820092,100.0,105.47418538470733,84.7077598996985,2.881571388244629,2.881571388244629,0.0
4,2006-10-26,AMD,21.5,21.5,21.68000030517578,21.25,33031400.0,3.0,0.011910626266736557,21.662499201191142,19.72950061570339,53.514494223031974,157.39887653701282,40.294174601989205,20.695999908447266,20.695999908447266,0.0
4,2006-10-26,AMZN,1.9149999618530273,1.9149999618530273,1.9244999885559082,1.8624999523162842,341466000.0,3.0,0.012745327058179212,1.9780653098593057,1.473534669541329,94.92894616385219,88.98801026336396,100.0,1.7257999897003173,1.7257999897003173,0.0
4,2006-10-26,BIDU,8.494999885559082,8.494999885559082,8.600000381469727,8.600000381469727,4230000.0,3.0,-0.015457497703769363,9.034250828255443,8.278149226676197,29.086559627062044,-43.99823694914206,97.05828668629323,8.65620002746582,8.65620002746582,0.0
4,2006-10-26,GOOG,11.992268562316895,12.082213401794434,12.253071784973145,12.146471977233887,282322262.0,3.0,0.0319791964754188,12.357081154405744,11.181888266980973,100.0,101.14846597749141,66.87395781991829,11.769484710693359,11.769484710693359,0.0
4,2006-10-26,INTC,12.951101303100586,21.770000457763672,21.829999923706055,21.75,44042700.0,3.0,0.02514379379041287,21.89313171704032,20.99486800830148,100.0,87.15351527549173,100.0,21.4439998626709,21.4439998626709,0.0
4,2006-10-26,MSFT,19.985618591308594,28.350000381469727,28.40999984741211,28.329999923706055,69964200.0,3.0,-0.005279795038752866,28.53755085821095,28.19044901971874,35.79384314876488,-56.97282221556492,72.31625407616743,28.363999938964845,28.363999938964845,0.0
4,2006-10-26,NVDA,0.517094612121582,0.5640000104904175,0.5658329725265503,0.5479999780654907,366690000.0,3.0,0.0006920687074922771,0.5577807590000659,0.5186192110545607,63.24199538030866,120.18402416978077,100.0,0.5381999850273133,0.5381999850273133,0.0
4,2006-10-26,QCOM,24.22301483154297,37.9900016784668,38.04999923706055,37.77000045776367,15014100.0,3.0,-0.03593735400421849,38.88191700504721,36.44608439876139,41.00665868069242,21.29774194971452,36.869160266347464,37.6640007019043,37.6640007019043,0.0
5,2006-10-27,AAPL,2.4115796089172363,2.871786117553711,2.944643020629883,2.919642925262451,594966400.0,4.0,0.004791101468293313,2.969765596145364,2.8060676926831682,94.65282228962424,32.571961176504594,74.62909308351567,2.887916644414266,2.887916644414266,0.0
5,2006-10-27,AMD,20.860000610351562,20.860000610351562,21.790000915527344,21.350000381469727,28098900.0,4.0,0.036720015553928675,21.821091084959775,19.788908889608912,55.662041587897896,86.42110867907569,40.294174601989184,20.804999987284344,20.804999987284344,0.0
